QuestionId,WholeAssignment,ConstructName,SubjectName,QuestionText,CorrectAnswer,ConstructId,SubjectId,Answer,Answer_value,Misconception,MisconceptionId
18,"Carry out missing number subtraction problems involving negative integers. Adding and Subtracting Negative Numbers. ![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",Carry out missing number subtraction problems involving negative integers,Adding and Subtracting Negative Numbers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",B,261,211,AnswerAText,\( -7 \),MisconceptionAId,2179.0
19,"Subtract algebraic fractions where the denominators are single terms and are not multiples of each other. Adding and Subtracting Algebraic Fractions. Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,Adding and Subtracting Algebraic Fractions,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",C,1623,1078,AnswerAText,\( \frac{1-t}{3 s} \),MisconceptionAId,1916.0
21,"Factorise a quadratic expression in the form ax² + bx + c where a is prime. Factorising into a Double Bracket. Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",Factorise a quadratic expression in the form ax² + bx + c where a is prime,Factorising into a Double Bracket,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",B,1434,53,AnswerAText,\( (3 x+2)(3 x+1) \),MisconceptionAId,2240.0
28,"Count backwards in steps of of something other than one. Counting. George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?",Count backwards in steps of of something other than one,Counting,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?",C,10,200,AnswerAText,"\( 19,102 \)",MisconceptionAId,878.0
29,"Solve linear inequalities in one variable where the unknown appears on boths sides of the equation. Solving Linear Inequalities. Solve
\[
2 n+3 \leq 3 n-7
\]",Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,Solving Linear Inequalities,"Solve
\[
2 n+3 \leq 3 n-7
\]",B,1045,166,AnswerAText,\( 2 \leq n \),MisconceptionAId,1214.0
32,"Solve linear equations with the variable appearing on both sides, involving positive fractions. Linear Equations. Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)","Solve linear equations with the variable appearing on both sides, involving positive fractions",Linear Equations,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",D,1484,64,AnswerAText,\( \frac{2 r}{5}=5+r \),MisconceptionAId,1566.0
33,"Given a situation sketch an appropriate real life graph. Real Life Graphs. Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()",Given a situation sketch an appropriate real life graph,Real Life Graphs,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()",D,1560,58,AnswerAText,![A cylinder sitting on one of its circular faces.](),MisconceptionAId,218.0
34,"Find another power of 10 less than a given number. Place Value. What number is \( 10,000 \) less than \( 901,426 \) ?",Find another power of 10 less than a given number,Place Value,"What number is \( 10,000 \) less than \( 901,426 \) ?",C,52,202,AnswerAText,"\( 801,426 \)",MisconceptionAId,2264.0
36,"Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable. Simplifying Expressions by Collecting Like Terms. Simplify the following by collecting like terms.
\[
d+d+d+d
\]",Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,Simplifying Expressions by Collecting Like Terms,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",C,1273,251,AnswerAText,\( 4 \times d \),MisconceptionAId,1680.0
37,"Simplify fractions that simplify to a unit fraction. Simplifying Fractions. Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",Simplify fractions that simplify to a unit fraction,Simplifying Fractions,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",C,410,227,AnswerAText,\( \frac{3}{6} \),MisconceptionAId,848.0
39,Carry out a subtraction problem with positive integers where the answer is less than 0. Place Value. \( 598-1000= \),Carry out a subtraction problem with positive integers where the answer is less than 0,Place Value,\( 598-1000= \),B,3115,202,AnswerAText,\( 402 \),MisconceptionAId,1958.0
40,"Read values off a real life graph. Real Life Graphs. Lethna pays at one rate for the first \( 100 \) units of electricity she uses. She pays at a different rate for all the other units of electricity she uses.

How much must she pay for using a total of \( 1000 \) units of electricity? ![A graph showing how the cost changes for different numbers of units. The first 100 units cost £0.25 per unit. Then the rate changes to £0.10 per unit.]()",Read values off a real life graph,Real Life Graphs,"Lethna pays at one rate for the first \( 100 \) units of electricity she uses. She pays at a different rate for all the other units of electricity she uses.

How much must she pay for using a total of \( 1000 \) units of electricity? ![A graph showing how the cost changes for different numbers of units. The first 100 units cost £0.25 per unit. Then the rate changes to £0.10 per unit.]()",C,1561,58,AnswerAText,\( £ 130 \),MisconceptionAId,1582.0
42,"Given a gradient, state the gradient of a line parallel to it. Parallel Lines. A line has a gradient of \( 5 \)

A line parallel to this line would have a gradient of...","Given a gradient, state the gradient of a line parallel to it",Parallel Lines,"A line has a gradient of \( 5 \)

A line parallel to this line would have a gradient of...",C,953,262,AnswerAText,\( -5 \),MisconceptionAId,182.0
43,Divide proper fractions in the form: Fraction ÷ Integer. Dividing Fractions. Calculate: \( \frac{4}{8} \div 2 \),Divide proper fractions in the form: Fraction ÷ Integer,Dividing Fractions,Calculate: \( \frac{4}{8} \div 2 \),B,446,232,AnswerAText,\( \frac{2}{4} \),MisconceptionAId,381.0
44,"Identify a right-angled triangle when presented non-conventionally. Properties of Triangles. \( A B C D \) is a rectangle.
What type of triangle is triangle \( \mathrm{BCD} \) ? ![Rectangle ABCD with the diagonal shown using a red dotted line]()",Identify a right-angled triangle when presented non-conventionally,Properties of Triangles,"\( A B C D \) is a rectangle.
What type of triangle is triangle \( \mathrm{BCD} \) ? ![Rectangle ABCD with the diagonal shown using a red dotted line]()",C,2440,175,AnswerAText,Scalene,MisconceptionAId,646.0
45,"For a given algebraic input, find the output of a function machine. Function Machines. ![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""5a + 2"" written inside it. The middle rectangle has ""✕ 2"" written inside it and the final rectangle is empty and has ""output"" written above it.]() What is the output of this function machine?","For a given algebraic input, find the output of a function machine",Function Machines,"![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""5a + 2"" written inside it. The middle rectangle has ""✕ 2"" written inside it and the final rectangle is empty and has ""output"" written above it.]() What is the output of this function machine?",D,3176,649,AnswerAText,\( 10 a+2 \),MisconceptionAId,220.0
46,"Represent an equation using a bar model. Writing Expressions. ![Tom and Katie are discussing bar models.]() Tom says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline \( 2 \) & \( x \) \\
\hline
\end{tabular} Katie says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline\( x \) & \( x \) \\
\hline
\end{tabular} Who do you agree with?",Represent an equation using a bar model,Writing Expressions,"![Tom and Katie are discussing bar models.]() Tom says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline \( 2 \) & \( x \) \\
\hline
\end{tabular} Katie says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline\( x \) & \( x \) \\
\hline
\end{tabular} Who do you agree with?",B,3190,70,AnswerAText,Only Tom,MisconceptionAId,31.0
47,"Calculate the whole amount, given a fraction of the amount. Fractions of an Amount. What should replace the star?
\(
\frac{1}{3} \text { of } \color{yellow}\bigstar\)\(=27
\)","Calculate the whole amount, given a fraction of the amount",Fractions of an Amount,"What should replace the star?
\(
\frac{1}{3} \text { of } \color{yellow}\bigstar\)\(=27
\)",C,403,225,AnswerAText,\( 61 \),MisconceptionAId,1403.0
48,Determine the input of a double function machine used to create an algebraic expression. Function Machines. input \(\Rightarrow-3 \Rightarrow \times 3 \Rightarrow 9a-21 \) What is the input of this function machine?,Determine the input of a double function machine used to create an algebraic expression,Function Machines,input \(\Rightarrow-3 \Rightarrow \times 3 \Rightarrow 9a-21 \) What is the input of this function machine?,B,3516,649,AnswerAText,\( 3 a-18 \),MisconceptionAId,617.0
49,Convert from years to days. Time. \( 2 \) leap years \( =\square \) days,Convert from years to days,Time,\( 2 \) leap years \( =\square \) days,D,2238,209,AnswerAText,\( 728 \),MisconceptionAId,1322.0
51,Multiply 3 digit integers by 1 digit integers using the grid method. Mental Multiplication and Division. \( 427 \times 6= \),Multiply 3 digit integers by 1 digit integers using the grid method,Mental Multiplication and Division,\( 427 \times 6= \),D,3279,204,AnswerAText,\( 240+120+42 \),MisconceptionAId,779.0
53,"Identify the order of rotational symmetry of a shape. Properties of Quadrilaterals. In which region would a rectangle belong? ![Venn diagram with two circles labelled with 'exactly two lines of symmetry' and 'rotational symmetry of order 2'. A is in the only exactly two lines of symmetry region, B is in the intersection, C is in the only rotational symmetry of order 2 region and D is outside the two circles.]()",Identify the order of rotational symmetry of a shape,Properties of Quadrilaterals,"In which region would a rectangle belong? ![Venn diagram with two circles labelled with 'exactly two lines of symmetry' and 'rotational symmetry of order 2'. A is in the only exactly two lines of symmetry region, B is in the intersection, C is in the only rotational symmetry of order 2 region and D is outside the two circles.]()",B,3346,88,AnswerAText,A,MisconceptionAId,1877.0
57,"Identify questions involving a 2D right-angled triangle that require the use of the Tangent (tan) ratio. Right-angled Triangles (SOHCAHTOA). Which ratio would you use to find the value of \( p \) ? ![A right-angled triangle where the angle is 52 degrees, the side next to this is p and the side opposite is 6cm.]()",Identify questions involving a 2D right-angled triangle that require the use of the Tangent (tan) ratio,Right-angled Triangles (SOHCAHTOA),"Which ratio would you use to find the value of \( p \) ? ![A right-angled triangle where the angle is 52 degrees, the side next to this is p and the side opposite is 6cm.]()",C,1961,279,AnswerAText,\( \operatorname{Sin} \),MisconceptionAId,718.0
58,Represent a linear inequality with a single tail on a numberline. Inequalities on Number Lines. Which of the following diagrams represents \( x>-1 \) ?,Represent a linear inequality with a single tail on a numberline,Inequalities on Number Lines,Which of the following diagrams represents \( x>-1 \) ?,C,1030,165,AnswerAText,"![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()",MisconceptionAId,1880.0
59,Calculate percentage of an amount mentally where the percent is greater than 100. Percentages of an Amount. \( 130 \% \) of \( 40= \),Calculate percentage of an amount mentally where the percent is greater than 100,Percentages of an Amount,\( 130 \% \) of \( 40= \),B,578,233,AnswerAText,\( 12 \),MisconceptionAId,1313.0
62,"Calculate the mean from a frequency table. Averages and Range from Frequency Table. This table shows the number of pets a group of students owns.
If calculating the mean number of pets owned, what would replace the star? \begin{tabular}{|c|c|c|}
\hline Number of pets & Frequency & \\
\hline \( 0 \) & \( 9 \) & \\
\hline \( 1 \) & \( 5 \) & \\
\hline \( 2 \) & \( 4 \) & \( \color{gold}\bigstar \)
\hline \( 3 \) & \( 2 \) & \\
\hline \( 4 \) & \( 3 \) & \\
\hline
\end{tabular}",Calculate the mean from a frequency table,Averages and Range from Frequency Table,"This table shows the number of pets a group of students owns.
If calculating the mean number of pets owned, what would replace the star? \begin{tabular}{|c|c|c|}
\hline Number of pets & Frequency & \\
\hline \( 0 \) & \( 9 \) & \\
\hline \( 1 \) & \( 5 \) & \\
\hline \( 2 \) & \( 4 \) & \( \color{gold}\bigstar \)
\hline \( 3 \) & \( 2 \) & \\
\hline \( 4 \) & \( 3 \) & \\
\hline
\end{tabular}",C,2790,340,AnswerAText,\( 2+4=6 \),MisconceptionAId,1068.0
64,"Solve one-step linear equations requiring multiplication or division, involving positive decimals. Linear Equations. Solve the equation:
\[
0.45=0.3 p
\]","Solve one-step linear equations requiring multiplication or division, involving positive decimals",Linear Equations,"Solve the equation:
\[
0.45=0.3 p
\]",B,1467,64,AnswerAText,\( p=\frac{2}{3} \),MisconceptionAId,2359.0
66,Subtract decimals where the numbers involved have a different number of decimal places. Adding and Subtracting with Decimals. \( 4.72-3.1 \) What should replace the star?,Subtract decimals where the numbers involved have a different number of decimal places,Adding and Subtracting with Decimals,\( 4.72-3.1 \) What should replace the star?,C,306,223,AnswerAText,\( 4.41 \),MisconceptionAId,980.0
69,"Compare relative frequencies in order to determine which prediction is likely to be more reliable. Experimental Probability and Relative Frequency. A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",Compare relative frequencies in order to determine which prediction is likely to be more reliable,Experimental Probability and Relative Frequency,"A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",B,2942,110,AnswerAText,Town A,MisconceptionAId,906.0
70,"Calculate percentage of an amount using a calculator where the percent is an integer. Percentages of an Amount. What should replace the star? ![A percentage number line representing the value 630 with a star above the 84% mark]() Use your calculator, if needed, and give your answer to \( 1 \) decimal place.",Calculate percentage of an amount using a calculator where the percent is an integer,Percentages of an Amount,"What should replace the star? ![A percentage number line representing the value 630 with a star above the 84% mark]() Use your calculator, if needed, and give your answer to \( 1 \) decimal place.",B,586,233,AnswerAText,\( 750 \),MisconceptionAId,2023.0
72,Know the equation of the axes. Horizontal and Vertical Lines. What is the equation of the \( y \) axis?,Know the equation of the axes,Horizontal and Vertical Lines,What is the equation of the \( y \) axis?,D,922,258,AnswerAText,\( y=1 \),MisconceptionAId,2083.0
73,"Round integers to the nearest 1000. Rounding to the Nearest Whole (10, 100, etc). What is \( 326 \) rounded to the nearest \( 1000 \) ?",Round integers to the nearest 1000,"Rounding to the Nearest Whole (10, 100, etc)",What is \( 326 \) rounded to the nearest \( 1000 \) ?,D,208,213,AnswerAText,\( 1000 \),MisconceptionAId,1988.0
76,Recall and use the intersecting diagonals properties of a rectangle. Properties of Quadrilaterals. The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),C,2377,88,AnswerAText,always,MisconceptionAId,1180.0
77,"Identify perpendicular lines written in the form y = mx + c. Perpendicular Lines. Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",Identify perpendicular lines written in the form y = mx + c,Perpendicular Lines,"Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",B,960,263,AnswerAText,\( y=\frac{1}{3} x+1 \),MisconceptionAId,925.0
80,"Fill in regions of a double Venn diagram with numbers from given information. Venn Diagrams. In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",Fill in regions of a double Venn diagram with numbers from given information,Venn Diagrams,"In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",C,2930,344,AnswerAText,A,MisconceptionAId,478.0
81,"Order integers with a different number of digits. Place Value. Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?",Order integers with a different number of digits,Place Value,"Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?",B,30,202,AnswerAText,"\( \begin{array}{l}3,506,212 \\ 3,652 \\ 605,321 \\ 650,312\end{array} \)",MisconceptionAId,1468.0
82,"Understand inequality notation. Inequalities on Number Lines. Which of the following shows "" \( x \) is greater than \( 9 \) ""?",Understand inequality notation,Inequalities on Number Lines,"Which of the following shows "" \( x \) is greater than \( 9 \) ""?",C,3032,165,AnswerAText,\( x<9 \),MisconceptionAId,1880.0
84,Recognise the equations of horizontal lines from a diagram. Horizontal and Vertical Lines. What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),Recognise the equations of horizontal lines from a diagram,Horizontal and Vertical Lines,What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),B,920,258,AnswerAText,\( y=3 x \),MisconceptionAId,1568.0
85,"Generate a descending integer linear sequence from the nth term rule. Linear Sequences (nth term). What is the first term of the sequence given by this rule:
\[
2-7 n
\]",Generate a descending integer linear sequence from the nth term rule,Linear Sequences (nth term),"What is the first term of the sequence given by this rule:
\[
2-7 n
\]",C,1102,171,AnswerAText,\( 1 \),MisconceptionAId,1240.0
86,"Add proper fractions with the same denominator. Adding and Subtracting Fractions. Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.",Add proper fractions with the same denominator,Adding and Subtracting Fractions,"Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.",D,424,230,AnswerAText,\( \frac{11}{22} \),MisconceptionAId,217.0
88,"Calculate the volume of other prisms when the dimensions are given in the same units. Volume of Prisms. ![A triangular based prism]() Tom likes to remember:

Volume of a prism = Area of cross section \( X \) depth

In this shape, what length is the ""depth""?",Calculate the volume of other prisms when the dimensions are given in the same units,Volume of Prisms,"![A triangular based prism]() Tom likes to remember:

Volume of a prism = Area of cross section \( X \) depth

In this shape, what length is the ""depth""?",D,2303,189,AnswerAText,\( 5 \mathrm{~mm} \),MisconceptionAId,2091.0
89,"Generate a descending integer linear sequence from the nth term rule. Linear Sequences (nth term). What is the first term of the sequence given by this rule:
\[
1-5 n
\]",Generate a descending integer linear sequence from the nth term rule,Linear Sequences (nth term),"What is the first term of the sequence given by this rule:
\[
1-5 n
\]",D,1102,171,AnswerAText,\( 1 \),MisconceptionAId,1240.0
90,Find missing angles in a non-special quadrilateral. Angles in Polygons. What is the size of angle \( p \) in this quadrilateral? ![Not drawn to scale](),Find missing angles in a non-special quadrilateral,Angles in Polygons,What is the size of angle \( p \) in this quadrilateral? ![Not drawn to scale](),D,1781,183,AnswerAText,\( 120^{\circ} \),MisconceptionAId,2218.0
91,Rearrange a quadratic equation so that it is in the correct form to be factorised. Quadratic Equations. What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),Rearrange a quadratic equation so that it is in the correct form to be factorised,Quadratic Equations,What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),D,3136,65,AnswerAText,Divide by \( x \),MisconceptionAId,265.0
95,"Given information about the relationship between two parts (e.g. one part is worth 5 more than another), work out other parts. Sharing in a Ratio. Percy, Quentin and Robbie share gold coins in the ratio of
\[
3: 7: 8
\]
Percy gets \( 36 \) fewer coins than Quentin.
How many gold coins did Robbie get?","Given information about the relationship between two parts (e.g. one part is worth 5 more than another), work out other parts",Sharing in a Ratio,"Percy, Quentin and Robbie share gold coins in the ratio of
\[
3: 7: 8
\]
Percy gets \( 36 \) fewer coins than Quentin.
How many gold coins did Robbie get?",B,702,241,AnswerAText,\( 96 \),MisconceptionAId,312.0
96,"Solve linear equations with the variable appearing on both sides, with all positive integers. Linear Equations. Tom and Katie are arguing about a first step to solve this equation:
\(4 v+1=9 v-3\)

Tom says you can write: \( 5 v+1=-3 \)

Katie says you can write: \( 4 v+4=9 v \)

Who is correct?","Solve linear equations with the variable appearing on both sides, with all positive integers",Linear Equations,"Tom and Katie are arguing about a first step to solve this equation:
\(4 v+1=9 v-3\)

Tom says you can write: \( 5 v+1=-3 \)

Katie says you can write: \( 4 v+4=9 v \)

Who is correct?",B,1482,64,AnswerAText,"Only
Tom",MisconceptionAId,1138.0
97,"Recognise the vertically opposite angles relationship. Basic Angle Facts (straight line, opposite, around a point, etc). Which of the following correctly describes the relationship between the two marked angles? ![A diagram showing 3 lines crossing at a point to form 6 angles. Two angles are marked in orange, there are two unmarked angles between them on either side.]()",Recognise the vertically opposite angles relationship,"Basic Angle Facts (straight line, opposite, around a point, etc)","Which of the following correctly describes the relationship between the two marked angles? ![A diagram showing 3 lines crossing at a point to form 6 angles. Two angles are marked in orange, there are two unmarked angles between them on either side.]()",C,1742,181,AnswerAText,Alternate angles,MisconceptionAId,532.0
98,"Given a sketch of a linear graph solve f(x) = n. Graphical Solution of Simultaneous Equations. This is a graph of
\(y=0.4 x-3\) ![A set of axes with the graph y=0.4x-3 drawn on.]() Use the graph to solve
\(0.4 x-3=-1\)",Given a sketch of a linear graph solve f(x) = n,Graphical Solution of Simultaneous Equations,"This is a graph of
\(y=0.4 x-3\) ![A set of axes with the graph y=0.4x-3 drawn on.]() Use the graph to solve
\(0.4 x-3=-1\)",D,3179,264,AnswerAText,\( x=-3.3 \),MisconceptionAId,391.0
99,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape. Volume and Capacity Units. A regular pentagon has a total perimeter of \( 17 \mathrm{~cm} \).
What is the length of each of its sides?","Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape",Volume and Capacity Units,"A regular pentagon has a total perimeter of \( 17 \mathrm{~cm} \).
What is the length of each of its sides?",C,2598,197,AnswerAText,\( 85 \mathrm{~cm} \),MisconceptionAId,545.0
100,Interpret a pie chart. Pie Chart. This pie chart shows the colour of hats that Tom owns. ![Pie chart showing the colour of Tom's hats. Blue is 90 degrees. Yellow is approximately 195 degrees. Red is approximately 40 degrees and green approximately 35 degrees.]() What fraction of Tom's hats are not blue?,Interpret a pie chart,Pie Chart,This pie chart shows the colour of hats that Tom owns. ![Pie chart showing the colour of Tom's hats. Blue is 90 degrees. Yellow is approximately 195 degrees. Red is approximately 40 degrees and green approximately 35 degrees.]() What fraction of Tom's hats are not blue?,C,2869,109,AnswerAText,\( \frac{1}{4} \),MisconceptionAId,463.0
